# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
 78    Pt     K      54.0204
 78    Pt    L1      9.1025
 78    Pt    L2      6.0351
 78    Pt    L3      5.1708
 78    Pt    M1      20.7519
 78    Pt    M2      14.2443
 78    Pt    M3      10.1601
 78    Pt    M4      3.0780
 78    Pt    M5      2.3957
 78    Pt    N1      15.4675
 78    Pt    N2      13.0000
 78    Pt    N3      13.0000
 78    Pt    N4      8.0000
 78    Pt    N5      8.0000
 78    Pt    N6      0.1719
 78    Pt    N7      0.1719
 78    Pt    O1      0.1000
 78    Pt    O2      0.1000
 78    Pt    O3      0.1000
 79    Au     K      56.9318
 79    Au    L1      9.5027
 79    Au    L2      6.1661
 79    Au    L3      5.2842
 79    Au    M1      21.3668
 79    Au    M2      14.6173
 79    Au    M3      10.0797
 79    Au    M4      2.7000
 79    Au    M5      2.5000
 79    Au    N1      15.7315
 79    Au    N2      13.0000
 79    Au    N3      13.0000
 79    Au    N4      8.0000
 79    Au    N5      8.0000
 79    Au    N6      0.2200
 79    Au    N7      0.2200
 79    Au    O1      0.1000
 79    Au    O2      0.1000
 79    Au    O3      0.1000
 79    Au    O4      0.1000
 79    Au    O5      0.1000
 80    Hg     K      60.0000
 80    Hg    L1      9.9206
 80    Hg    L2      6.3000
 80    Hg    L3      5.4000
 80    Hg    M1      22.0000
 80    Hg    M2      15.0000
 80    Hg    M3      10.0000
 80    Hg    M4      2.7946
 80    Hg    M5      2.5856
 80    Hg    N1      16.0000
 80    Hg    N2      13.0000
 80    Hg    N3      13.0000
 80    Hg    N4      8.0000
 80    Hg    N5      8.0000
 80    Hg    N6      0.1966
 80    Hg    N7      0.1966
 80    Hg    O1      0.1000
 80    Hg    O2      0.1000
 80    Hg    O3      0.1000
 80    Hg    O4      0.1000
 80    Hg    O5      0.1000
 81    Tl     K      62.2654
 81    Tl    L1      10.3569
 81    Tl    L2      6.5168
 81    Tl    L3      5.5858
 81    Tl    M1      22.0000
 81    Tl    M2      15.0642
 81    Tl    M3      10.0000
 81    Tl    M4      2.8925
 81    Tl    M5      2.6742
 81    Tl    N1      15.7815
 81    Tl    N2      13.0000
 81    Tl    N3      13.0000
 81    Tl    N4      8.0000
 81    Tl    N5      8.0000
 81    Tl    N6      0.1756
 81    Tl    N7      0.1756
 81    Tl    O1      0.1000
 81    Tl    O2      0.1000
 81    Tl    O3      0.1000
 81    Tl    O4      0.1000
 81    Tl    O5      0.1000
 82    Pb     K      64.6162
 82    Pb    L1      10.8123
 82    Pb    L2      6.7410
 82    Pb    L3      5.7780
 82    Pb    M1      22.0000
 82    Pb    M2      15.1288
 82    Pb    M3      10.0000
 82    Pb    M4      2.9938
 82    Pb    M5      2.7658
 82    Pb    N1      15.5660
 82    Pb    N2      13.0000
 82    Pb    N3      13.0000
 82    Pb    N4      7.7377
 82    Pb    N5      7.7377
 82    Pb    N6      0.1569
 82    Pb    N7      0.1569
 82    Pb    O1      0.1000
 82    Pb    O2      0.1000
 82    Pb    O3      0.1000
 82    Pb    O4      0.1000
 82    Pb    O5      0.1000
 82    Pb    P1      0.1000
 82    Pb    P2      0.1000
 82    Pb    P3      0.1000
 83    Bi     K      67.0559
 83    Bi    L1      11.2878
 83    Bi    L2      6.9729
 83    Bi    L3      5.9768
 83    Bi    M1      22.0000
 83    Bi    M2      15.1936
 83    Bi    M3      10.0000
 83    Bi    M4      3.0987
 83    Bi    M5      2.8606
 83    Bi    N1      15.3534
 83    Bi    N2      13.0000
 83    Bi    N3      13.0000
 83    Bi    N4      7.4841
 83    Bi    N5      7.4841
 83    Bi    N6      0.1402
 83    Bi    N7      0.1402
 83    Bi    O1      0.1000
 83    Bi    O2      0.1000
 83    Bi    O3      0.1000
 83    Bi    O4      0.1000
 83    Bi    O5      0.1000
 83    Bi    P1      0.1000
 83    Bi    P2      0.1000
 83    Bi    P3      0.1000
 84    Po     K      69.5877
 84    Po    L1      11.7841
 84    Po    L2      7.2129
 84    Po    L3      6.1825
 84    Po    M1      22.0000
 84    Po    M2      15.2586
 84    Po    M3      10.0000
 84    Po    M4      3.2072
 84    Po    M5      2.9586
 84    Po    N1      15.1437
 84    Po    N2      13.0000
 84    Po    N3      13.0000
 84    Po    N4      7.2387
 84    Po    N5      7.2387
 84    Po    N6      0.1253
 84    Po    N7      0.1253
 84    Po    O1      0.1000
 84    Po    O2      0.1000
 84    Po    O3      0.1000
 84    Po    O4      0.1000
 84    Po    O5      0.1000
 84    Po    P1      0.1000
 84    Po    P2      0.1000
 84    Po    P3      0.1000
 85    At     K      72.2150
 85    At    L1      12.3023
 85    At    L2      7.4611
 85    At    L3      6.3952
 85    At    M1      22.0000
 85    At    M2      15.3240
 85    At    M3      10.0000
 85    At    M4      3.3195
 85    At    M5      3.0600
 85    At    N1      14.9369
 85    At    N2      13.0000
 85    At    N3      13.0000
 85    At    N4      7.0014
 85    At    N5      7.0014
 85    At    N6      0.1119
 85    At    N7      0.1119
 85    At    O1      0.1000
 85    At    O2      0.1000
 85    At    O3      0.1000
 85    At    O4      0.1000
 85    At    O5      0.1000
 85    At    P1      0.1000
 85    At    P2      0.1000
 85    At    P3      0.1000
 86    Rn     K      74.9415
 86    Rn    L1      12.8433
 86    Rn    L2      7.7178
 86    Rn    L3      6.6152
 86    Rn    M1      22.0000
 86    Rn    M2      15.3896
 86    Rn    M3      10.0000
 86    Rn    M4      3.4358
 86    Rn    M5      3.1648
 86    Rn    N1      14.7329
 86    Rn    N2      13.0000
 86    Rn    N3      13.0000
 86    Rn    N4      6.7718
 86    Rn    N5      6.7718
 86    Rn    N6      0.1000
 86    Rn    N7      0.1000
 86    Rn    O1      0.1000
 86    Rn    O2      0.1000
 86    Rn    O3      0.1000
 86    Rn    O4      0.1000
 86    Rn    O5      0.1000
 86    Rn    P1      0.1000
 86    Rn    P2      0.1000
 86    Rn    P3      0.1000
 87    Fr     K      77.7710
 87    Fr    L1      13.4081
 87    Fr    L2      7.9833
 87    Fr    L3      6.8429
 87    Fr    M1      22.0000
 87    Fr    M2      15.4556
 87    Fr    M3      10.0000
 87    Fr    M4      3.5562
 87    Fr    M5      3.2732
 87    Fr    N1      14.5317
 87    Fr    N2      13.0000
 87    Fr    N3      13.0000
 87    Fr    N4      6.5498
 87    Fr    N5      6.5498
 87    Fr    N6      0.1125
 87    Fr    N7      0.1125
 87    Fr    O1      0.1000
 87    Fr    O2      0.1000
 87    Fr    O3      0.1000
 87    Fr    O4      0.1000
 87    Fr    O5      0.1000
 87    Fr    P1      0.1000
 87    Fr    P2      0.1000
 87    Fr    P3      0.1000
 88    Ra     K      80.7074
 88    Ra    L1      13.9977
 88    Ra    L2      8.2580
 88    Ra    L3      7.0783
 88    Ra    M1      22.0000
 88    Ra    M2      15.5218
 88    Ra    M3      10.0000
 88    Ra    M4      3.6807
 88    Ra    M5      3.3853
 88    Ra    N1      14.3332
 88    Ra    N2      12.2437
 88    Ra    N3      12.2437
 88    Ra    N4      6.3351
 88    Ra    N5      6.3351
 88    Ra    N6      0.1265
 88    Ra    N7      0.1265
 88    Ra    O1      0.1000
 88    Ra    O2      0.1000
 88    Ra    O3      0.1000
 88    Ra    O4      0.1000
 88    Ra    O5      0.1000
 88    Ra    P1      0.1000
 88    Ra    P2      0.1000
 88    Ra    P3      0.1000
 89    Ac     K      83.7545
 89    Ac    L1      14.6132
 89    Ac    L2      8.5422
 89    Ac    L3      7.3219
 89    Ac    M1      22.0000
 89    Ac    M2      15.5882
 89    Ac    M3      10.0000
 89    Ac    M4      3.8097
 89    Ac    M5      3.5013
 89    Ac    N1      14.1375
 89    Ac    N2      11.5314
 89    Ac    N3      11.5314
 89    Ac    N4      6.1274
 89    Ac    N5      6.1274
 89    Ac    N6      0.1423
 89    Ac    N7      0.1423
 89    Ac    O1      0.1000
 89    Ac    O2      0.1000
 89    Ac    O3      0.1000
 89    Ac    O4      0.1000
 89    Ac    O5      0.1000
 89    Ac    P1      0.1000
 89    Ac    P2      0.1000
 89    Ac    P3      0.1000
 90    Th     K      86.9168
 90    Th    L1      15.2558
 90    Th    L2      8.8361
 90    Th    L3      7.5738
 90    Th    M1      22.0000
 90    Th    M2      15.6550
 90    Th    M3      10.0000
 90    Th    M4      3.9431
 90    Th    M5      3.6213
 90    Th    N1      13.9444
 90    Th    N2      10.8605
 90    Th    N3      10.8605
 90    Th    N4      5.9265
 90    Th    N5      5.9265
 90    Th    N6      0.1600
 90    Th    N7      0.1600
 90    Th    O1      0.1000
 90    Th    O2      0.1000
 90    Th    O3      0.1000
 90    Th    O4      0.1000
 90    Th    O5      0.1000
 90    Th    P1      0.1000
 90    Th    P2      0.1000
 90    Th    P3      0.1000
 91    Pa     K      90.1984
 91    Pa    L1      15.9267
 91    Pa    L2      9.1401
 91    Pa    L3      7.8344
 91    Pa    M1      22.0000
 91    Pa    M2      15.7221
 91    Pa    M3      10.0000
 91    Pa    M4      4.0812
 91    Pa    M5      3.7453
 91    Pa    N1      13.7540
 91    Pa    N2      10.2286
 91    Pa    N3      10.2286
 91    Pa    N4      5.7322
 91    Pa    N5      5.7322
 91    Pa    N6      0.2010
 91    Pa    N7      0.2010
 91    Pa    O1      0.1000
 91    Pa    O2      0.1000
 91    Pa    O3      0.1000
 91    Pa    O4      0.1000
 91    Pa    O5      0.1000
 91    Pa    P1      0.1000
 91    Pa    P2      0.1000
 91    Pa    P3      0.1000
 92     U     K      93.6039
 92     U    L1      16.6271
 92     U    L2      9.4546
 92     U    L3      8.1040
 92     U    M1      22.0000
 92     U    M2      15.7894
 92     U    M3      10.0000
 92     U    M4      4.2242
 92     U    M5      3.8736
 92     U    N1      13.5661
 92     U    N2      9.6336
 92     U    N3      9.6336
 92     U    N4      5.5443
 92     U    N5      5.5443
 92     U    N6      0.2524
 92     U    N7      0.2524
 92     U    O1      0.1000
 92     U    O2      0.1000
 92     U    O3      0.1000
 92     U    O4      0.1000
 92     U    O5      0.1000
 92     U    P1      0.1000
 92     U    P2      0.1000
 92     U    P3      0.1000
 93    Np     K      97.1380
 93    Np    L1      17.3582
 93    Np    L2      9.7799
 93    Np    L3      8.3828
 93    Np    M1      22.0000
 93    Np    M2      15.8570
 93    Np    M3      10.0000
 93    Np    M4      4.3722
 93    Np    M5      4.0063
 93    Np    N1      13.3809
 93    Np    N2      9.0731
 93    Np    N3      9.0731
 93    Np    N4      5.3625
 93    Np    N5      5.3625
 93    Np    N6      0.3170
 93    Np    N7      0.3170
 93    Np    O1      0.1000
 93    Np    O2      0.1000
 93    Np    O3      0.1000
 93    Np    O4      0.1000
 93    Np    O5      0.1000
 93    Np    P1      0.1000
 93    Np    P2      0.1000
 93    Np    P3      0.1000
 94    Pu     K      100.8056
 94    Pu    L1      18.1215
 94    Pu    L2      10.1164
 94    Pu    L3      8.6712
 94    Pu    M1      22.0000
 94    Pu    M2      15.9250
 94    Pu    M3      10.0000
 94    Pu    M4      4.5253
 94    Pu    M5      4.1436
 94    Pu    N1      13.1981
 94    Pu    N2      8.5452
 94    Pu    N3      8.5452
 94    Pu    N4      5.1867
 94    Pu    N5      5.1867
 94    Pu    N6      0.3981
 94    Pu    N7      0.3981
 94    Pu    O1      0.1000
 94    Pu    O2      0.1000
 94    Pu    O3      0.1000
 94    Pu    O4      0.1000
 94    Pu    O5      0.1000
 94    Pu    P1      0.1000
 94    Pu    P2      0.1000
 94    Pu    P3      0.1000
 95    Am     K      104.6116
 95    Am    L1      18.9184
 95    Am    L2      10.4645
 95    Am    L3      8.9696
 95    Am    M1      22.0000
 95    Am    M2      15.9932
 95    Am    M3      10.0000
 95    Am    M4      4.6838
 95    Am    M5      4.2855
 95    Am    N1      13.0179
 95    Am    N2      8.0481
 95    Am    N3      8.0481
 95    Am    N4      5.0167
 95    Am    N5      5.0167
 95    Am    N6      0.5000
 95    Am    N7      0.5000
 95    Am    O1      0.1000
 95    Am    O2      0.1000
 95    Am    O3      0.1000
 95    Am    O4      0.1000
 95    Am    O5      0.1000
 95    Am    P1      0.1000
 95    Am    P2      0.1000
 95    Am    P3      0.1000
 96    Cm     K      105.0000
 96    Cm    L1      19.0000
 96    Cm    L2      10.5000
 96    Cm    L3      9.0000
 96    Cm    M1      22.0000
 96    Cm    M2      16.0000
 96    Cm    M3      10.0000
 96    Cm    M4      4.7000
 96    Cm    M5      4.3000
 96    Cm    N1      13.0000
 96    Cm    N2      8.0000
 96    Cm    N3      8.0000
 96    Cm    N4      5.0000
 96    Cm    N5      5.0000
 96    Cm    N6      0.5624
 96    Cm    N7      0.5624
 96    Cm    O1      0.1000
 96    Cm    O2      0.1000
 96    Cm    O3      0.1000
 96    Cm    O4      0.1000
 96    Cm    O5      0.1000
 96    Cm    P1      0.1000
 96    Cm    P2      0.1000
 96    Cm    P3      0.1000
 97    Bk     K      105.0000
 97    Bk    L1      19.0000
 97    Bk    L2      10.5000
 97    Bk    L3      9.0000
 97    Bk    M1      22.0000
 97    Bk    M2      16.0000
 97    Bk    M3      10.0000
 97    Bk    M4      4.7000
 97    Bk    M5      4.3000
 97    Bk    N1      13.0000
 97    Bk    N2      8.0000
 97    Bk    N3      8.0000
 97    Bk    N4      5.0000
 97    Bk    N5      5.0000
 97    Bk    N6      0.6325
 97    Bk    N7      0.6325
 97    Bk    O1      0.1000
 97    Bk    O2      0.1000
 97    Bk    O3      0.1000
 97    Bk    O4      0.1000
 97    Bk    O5      0.1000
 97    Bk    P1      0.1000
 97    Bk    P2      0.1000
 97    Bk    P3      0.1000
 98    Cf     K      105.0000
 98    Cf    L1      19.0000
 98    Cf    L2      10.5000
 98    Cf    L3      9.0000
 98    Cf    M1      22.0000
 98    Cf    M2      16.0000
 98    Cf    M3      10.0000
 98    Cf    M4      4.7000
 98    Cf    M5      4.3000
 98    Cf    N1      13.0000
 98    Cf    N2      8.0000
 98    Cf    N3      8.0000
 98    Cf    N4      5.0000
 98    Cf    N5      5.0000
 98    Cf    N6      0.7114
 98    Cf    N7      0.7114
 98    Cf    O1      0.1000
 98    Cf    O2      0.1000
 98    Cf    O3      0.1000
 98    Cf    O4      0.1000
 98    Cf    O5      0.1000
 98    Cf    P1      0.1000
 98    Cf    P2      0.1000
 98    Cf    P3      0.1000
